Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Addison Road,713,311,176,92,6
Anacostia,"1,125",904,864,307,13
Archives,141,684,"2,095",492,12
Arlington Cemetery,30,438,317,23,4
Ashburn,387,165,102,27,1
Ballston-MU,"1,602","1,009","1,369",509,13
Benning Road,772,460,314,125,7
Bethesda,"1,110",930,"1,360",474,13
Braddock Road,816,362,401,134,8
Branch Ave,"1,263",395,266,97,8
Brookland-CUA,"1,063",889,"1,178",340,9
Capitol Heights,617,282,186,75,7
Capitol South,497,857,"2,200",422,7
Cheverly,208,97,62,25,3
Clarendon,726,475,592,354,21
Cleveland Park,677,522,485,220,10
College Park-U of Md,559,406,523,168,6
Columbia Heights,"1,751","1,709","2,371",853,19
Congress Heights,582,395,340,149,6
Court House,"1,084",651,783,275,9
Crystal City,"1,311","1,076","1,465",387,10
Deanwood,326,236,186,71,6
Downtown Largo,"1,109",367,262,114,8
Dulles Airport,149,244,424,247,1
Dunn Loring,602,277,291,87,4
Dupont Circle,"1,371","1,756","3,169","1,570",49
East Falls Church,982,449,379,111,5
Eastern Market,849,787,844,492,14
Eisenhower Ave,325,184,229,77,2
Farragut North,476,"1,549","4,932","1,355",38
Farragut West,585,"1,454","4,474","1,095",25
Federal Center SW,172,433,"1,103",142,5
Federal Triangle,66,635,"2,001",288,6
Foggy Bottom-GWU,"1,098","2,230","4,868","1,997",24
Forest Glen,542,216,162,50,7
Fort Totten,"2,439","1,350","1,287",376,18
Franconia-Springfield,"1,257",594,408,117,5
Friendship Heights,941,891,"1,017",336,14
Gallery Place,722,"1,809","4,196","3,258",83
Georgia Ave-Petworth,"1,220",942,"1,091",378,14
Glenmont,"1,565",616,387,126,10
Greenbelt,"1,223",568,439,144,6
Greensboro,163,143,296,98,5
Grosvenor-Strathmore,961,431,331,85,7
Herndon,247,106,80,24,1
Huntington,"1,481",541,368,110,7
Hyattsville Crossing,976,614,536,230,10
Innovation Center,158,106,109,22,1
Judiciary Square,211,618,"1,611",330,17
King St-Old Town,892,797,790,350,13
L'Enfant Plaza,970,"1,641","3,931",917,59
Landover,418,136,79,37,4
Loudoun Gateway,79,32,31,8,1
McLean,248,226,614,131,5
McPherson Sq,800,"1,121","2,736",770,28
Medical Center,309,475,"1,460",213,8
Metro Center,756,"2,051","5,792","2,166",48
Minnesota Ave,435,362,345,132,7
Morgan Boulevard,441,185,132,51,6
Mt Vernon Sq,510,593,"1,011",525,20
Navy Yard-Ballpark,"1,135","1,040","2,046","1,688",35
Naylor Road,584,279,178,96,5
New Carrollton,"1,236",548,395,145,7
NoMa-Gallaudet U,"1,886","1,520","2,473",807,21
North Bethesda,584,388,430,166,6
Pentagon,"1,695","1,218","2,581",211,7
Pentagon City,"1,641","1,467","1,631",738,8
Potomac Ave,953,530,404,164,5
Potomac Yard,170,113,132,41,2
Reston Town Center,139,100,149,42,2
Rhode Island Ave,"1,312",991,848,397,12
Rockville,781,488,446,155,4
Ronald Reagan Washington National Airport,506,"1,484","1,364","1,151",17
Rosslyn,"1,400","1,438","2,229",715,17
Shady Grove,"2,533","1,002",708,188,7
Shaw-Howard U,644,692,"1,085",456,23
Silver Spring,"2,028","1,303","1,305",544,22
Smithsonian,152,"1,065","2,477",494,15
Southern Ave,"1,165",524,337,175,8
Spring Hill,128,132,182,66,4
Stadium-Armory,631,471,463,159,11
Suitland,"1,047",480,346,151,6
Takoma,"1,182",695,730,178,9
Tenleytown-AU,602,755,"1,334",519,10
Twinbrook,845,484,455,153,6
Tysons,213,330,682,350,6
U Street,844,789,"1,180",886,55
Union Station,"3,071","2,410","3,888","1,359",23
Van Dorn Street,567,246,177,73,5
Van Ness-UDC,847,753,793,261,6
Vienna,"1,489",685,508,151,5
Virginia Sq-GMU,660,374,446,166,7
Waterfront,609,618,881,473,15
West Falls Church,497,230,157,50,5
West Hyattsville,"1,039",472,360,99,7
Wheaton,774,466,409,173,12
Wiehle-Reston East,893,444,468,117,6
Woodley Park,862,849,907,304,15